"Status","Name","DisplayName","Time"
"Stopped","AarSvc_a0080","AarSvc_a0080","06-28-23 04:56:17"
"Running","AdobeARMservice","Adobe Acrobat Update Service","06-28-23 04:56:17"
"Stopped","AJRouter","AllJoyn Router Service","06-28-23 04:56:17"
"Stopped","ALG","Application Layer Gateway Service","06-28-23 04:56:17"
"Running","AMD Crash Defender Service","AMD Crash Defender Service","06-28-23 04:56:17"
"Running","AMD External Events Utility","AMD External Events Utility","06-28-23 04:56:17"
"Running","AnyDesk","AnyDesk Service","06-28-23 04:56:17"
"Running","Apache2.4","Apache2.4","06-28-23 04:56:17"
"Stopped","AppIDSvc","Application Identity","06-28-23 04:56:17"
"Running","Appinfo","Application Information","06-28-23 04:56:17"
"Stopped","AppMgmt","Application Management","06-28-23 04:56:17"
"Stopped","AppReadiness","App Readiness","06-28-23 04:56:17"
"Stopped","AppVClient","Microsoft App-V Client","06-28-23 04:56:17"
"Running","AppXSvc","AppX Deployment Service (AppXSVC)","06-28-23 04:56:17"
"Running","arwsrvc","Realtime Behavior Detection","06-28-23 04:56:17"
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service","06-28-23 04:56:17"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","06-28-23 04:56:17"
"Running","Audiosrv","Windows Audio","06-28-23 04:56:17"
"Running","AUEPLauncher","AMD User Experience Program Launcher","06-28-23 04:56:17"
"Stopped","autotimesvc","Cellular Time","06-28-23 04:56:17"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)","06-28-23 04:56:17"
"Stopped","BcastDVRUserService_a0080","BcastDVRUserService_a0080","06-28-23 04:56:17"
"Running","Behavior Detection System","Behavior Detection System","06-28-23 04:56:17"
"Running","BFE","Base Filtering Engine","06-28-23 04:56:17"
"Stopped","BITS","Background Intelligent Transfer Service","06-28-23 04:56:17"
"Stopped","BluetoothUserService_a0080","BluetoothUserService_a0080","06-28-23 04:56:17"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service","06-28-23 04:56:17"
"Running","Browser","Computer Browser","06-28-23 04:56:17"
"Stopped","BTAGService","Bluetooth Audio Gateway Service","06-28-23 04:56:17"
"Running","BthAvctpSvc","AVCTP service","06-28-23 04:56:17"
"Stopped","bthserv","Bluetooth Support Service","06-28-23 04:56:17"
"Running","camsvc","Capability Access Manager Service","06-28-23 04:56:17"
"Stopped","CaptureService_a0080","CaptureService_a0080","06-28-23 04:56:17"
"Running","cbdhsvc_a0080","cbdhsvc_a0080","06-28-23 04:56:17"
"Running","CDPSvc","Connected Devices Platform Service","06-28-23 04:56:17"
"Running","CDPUserSvc_a0080","CDPUserSvc_a0080","06-28-23 04:56:17"
"Running","CertPropSvc","Certificate Propagation","06-28-23 04:56:17"
"Stopped","ClipSVC","Client License Service (ClipSVC)","06-28-23 04:56:17"
"Stopped","cloudidsvc","Microsoft Cloud Identity Service","06-28-23 04:56:17"
"Stopped","COMSysApp","COM+ System Application","06-28-23 04:56:17"
"Stopped","ConsentUxUserSvc_a0080","ConsentUxUserSvc_a0080","06-28-23 04:56:17"
"Running","Core Mail Protection","Core Mail Protection","06-28-23 04:56:17"
"Stopped","Core Scanning Server","Core Scanning Server","06-28-23 04:56:17"
"Running","Core Scanning ServerEx","Core Scanning ServerEx","06-28-23 04:56:17"
"Running","CoreMessagingRegistrar","CoreMessaging","06-28-23 04:56:17"
"Stopped","cphs","Intel(R) Content Protection HECI Service","06-28-23 04:56:17"
"Stopped","CredentialEnrollmentManagerUserSvc_a0080","CredentialEnrollmentManagerUserSvc_a0080","06-28-23 04:56:17"
"Running","CryptSvc","Cryptographic Services","06-28-23 04:56:17"
"Stopped","CscService","Offline Files","06-28-23 04:56:17"
"Running","CWAUpdaterService","Citrix Workspace Updater Service","06-28-23 04:56:17"
"Running","CxAudMsg","Conexant Audio Message Service","06-28-23 04:56:17"
"Running","DcomLaunch","DCOM Server Process Launcher","06-28-23 04:56:17"
"Stopped","defragsvc","Optimize drives","06-28-23 04:56:17"
"Stopped","DeviceAssociationBrokerSvc_a0080","DeviceAssociationBrokerSvc_a0080","06-28-23 04:56:17"
"Running","DeviceAssociationService","Device Association Service","06-28-23 04:56:17"
"Running","DeviceInstall","Device Install Service","06-28-23 04:56:17"
"Stopped","DevicePickerUserSvc_a0080","DevicePickerUserSvc_a0080","06-28-23 04:56:17"
"Stopped","DevicesFlowUserSvc_a0080","DevicesFlowUserSvc_a0080","06-28-23 04:56:17"
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker","06-28-23 04:56:17"
"Running","Dhcp","DHCP Client","06-28-23 04:56:17"
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","06-28-23 04:56:17"
"Stopped","diagsvc","Diagnostic Execution Service","06-28-23 04:56:17"
"Running","DiagTrack","Connected User Experiences and Telemetry","06-28-23 04:56:17"
"Stopped","DialogBlockingService","DialogBlockingService","06-28-23 04:56:17"
"Running","DispBrokerDesktopSvc","Display Policy Service","06-28-23 04:56:17"
"Running","DisplayEnhancementService","Display Enhancement Service","06-28-23 04:56:17"
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service","06-28-23 04:56:17"
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","06-28-23 04:56:17"
"Running","Dnscache","DNS Client","06-28-23 04:56:17"
"Running","DoSvc","Delivery Optimization","06-28-23 04:56:17"
"Running","dot3svc","Wired AutoConfig","06-28-23 04:56:17"
"Running","DPS","Diagnostic Policy Service","06-28-23 04:56:17"
"Stopped","DsmSvc","Device Setup Manager","06-28-23 04:56:17"
"Stopped","DsRoleSvc","DS Role Server","06-28-23 04:56:17"
"Stopped","DsSvc","Data Sharing Service","06-28-23 04:56:17"
"Running","DusmSvc","Data Usage","06-28-23 04:56:17"
"Running","Eaphost","Extensible Authentication Protocol","06-28-23 04:56:17"
"Stopped","EasyAntiCheat","EasyAntiCheat","06-28-23 04:56:17"
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)","06-28-23 04:56:17"
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","06-28-23 04:56:17"
"Running","EFS","Encrypting File System (EFS)","06-28-23 04:56:17"
"Stopped","embeddedmode","Embedded Mode","06-28-23 04:56:17"
"Stopped","EntAppSvc","Enterprise App Management Service","06-28-23 04:56:17"
"Running","EventLog","Windows Event Log","06-28-23 04:56:17"
"Running","EventSystem","COM+ Event System","06-28-23 04:56:17"
"Running","EvtEng","Intel(R) PROSet/Wireless Event Log","06-28-23 04:56:17"
"Stopped","Fax","Fax","06-28-23 04:56:17"
"Stopped","fdPHost","Function Discovery Provider Host","06-28-23 04:56:17"
"Stopped","FDResPub","Function Discovery Resource Publication","06-28-23 04:56:17"
"Stopped","fhsvc","File History Service","06-28-23 04:56:17"
"Running","FontCache","Windows Font Cache Service","06-28-23 04:56:17"
"Stopped","FrameServer","Windows Camera Frame Server","06-28-23 04:56:17"
"Running","GameInput Service","GameInput Service","06-28-23 04:56:17"
"Running","GamingServices","Gaming Services","06-28-23 04:56:17"
"Running","GamingServicesNet","Gaming Services","06-28-23 04:56:17"
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","06-28-23 04:56:17"
"Stopped","gpsvc","Group Policy Client","06-28-23 04:56:17"
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc","06-28-23 04:56:17"
"Stopped","gupdate","Google Update Service (gupdate)","06-28-23 04:56:17"
"Stopped","gupdatem","Google Update Service (gupdatem)","06-28-23 04:56:17"
"Stopped","hidserv","Human Interface Device Service","06-28-23 04:56:17"
"Running","hns","Host Network Service","06-28-23 04:56:17"
"Stopped","HP LaserJet Service","HP LaserJet Service","06-28-23 04:56:17"
"Stopped","HvHost","HV Host Service","06-28-23 04:56:17"
"Running","ibtsiva","Intel Bluetooth Service","06-28-23 04:56:17"
"Stopped","icssvc","Windows Mobile Hotspot Service","06-28-23 04:56:17"
"Running","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","06-28-23 04:56:17"
"Running","IJPLMSVC","Canon Inkjet Printer/Scanner/Fax Extended Survey Program","06-28-23 04:56:17"
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules","06-28-23 04:56:17"
"Running","InstallService","Microsoft Store Install Service","06-28-23 04:56:17"
"Stopped","Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface","06-28-23 04:56:17"
"Stopped","Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service","06-28-23 04:56:17"
"Running","iphlpsvc","IP Helper","06-28-23 04:56:17"
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service","06-28-23 04:56:17"
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","06-28-23 04:56:17"
"Running","KeyIso","CNG Key Isolation","06-28-23 04:56:17"
"Stopped","KMSEmulator","KMS-host Service","06-28-23 04:56:17"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator","06-28-23 04:56:17"
"Running","LanmanServer","Server","06-28-23 04:56:17"
"Running","LanmanWorkstation","Workstation","06-28-23 04:56:17"
"Running","lfsvc","Geolocation Service","06-28-23 04:56:17"
"Running","LicenseManager","Windows License Manager Service","06-28-23 04:56:17"
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper","06-28-23 04:56:17"
"Running","lmhosts","TCP/IP NetBIOS Helper","06-28-23 04:56:17"
"Running","LSM","Local Session Manager","06-28-23 04:56:17"
"Stopped","LxpSvc","Language Experience Service","06-28-23 04:56:17"
"Stopped","MapsBroker","Downloaded Maps Manager","06-28-23 04:56:17"
"Stopped","MessagingService_a0080","MessagingService_a0080","06-28-23 04:56:17"
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","06-28-23 04:56:17"
"Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","06-28-23 04:56:17"
"Running","mpssvc","Windows Defender Firewall","06-28-23 04:56:17"
"Stopped","MSDTC","Distributed Transaction Coordinator","06-28-23 04:56:17"
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service","06-28-23 04:56:17"
"Stopped","msiserver","Windows Installer","06-28-23 04:56:17"
"Stopped","MsKeyboardFilter","Microsoft Keyboard Filter","06-28-23 04:56:17"
"Stopped","MyWiFiDHCPDNS","Wireless PAN DHCP Server","06-28-23 04:56:17"
"Stopped","NaturalAuthentication","Natural Authentication","06-28-23 04:56:17"
"Stopped","NcaSvc","Network Connectivity Assistant","06-28-23 04:56:17"
"Running","NcbService","Network Connection Broker","06-28-23 04:56:17"
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup","06-28-23 04:56:17"
"Stopped","Netlogon","Netlogon","06-28-23 04:56:17"
"Stopped","Netman","Network Connections","06-28-23 04:56:17"
"Running","netprofm","Network List Service","06-28-23 04:56:17"
"Stopped","NetSetupSvc","Network Setup Service","06-28-23 04:56:17"
"Stopped","NgcCtnrSvc","Microsoft Passport Container","06-28-23 04:56:17"
"Stopped","NgcSvc","Microsoft Passport","06-28-23 04:56:17"
"Running","NlaSvc","Network Location Awareness","06-28-23 04:56:17"
"Running","nsi","Network Store Interface Service","06-28-23 04:56:17"
"Running","nvagent","Network Virtualization Service","06-28-23 04:56:17"
"Running","OneSyncSvc_a0080","OneSyncSvc_a0080","06-28-23 04:56:17"
"Running","Online Protection System","Online Protection System","06-28-23 04:56:17"
"Stopped","ose","Office Source Engine","06-28-23 04:56:17"
"Stopped","ose64","Office 64 Source Engine","06-28-23 04:56:17"
"Stopped","p2pimsvc","Peer Networking Identity Manager","06-28-23 04:56:17"
"Stopped","p2psvc","Peer Networking Grouping","06-28-23 04:56:17"
"Running","PcaSvc","Program Compatibility Assistant Service","06-28-23 04:56:17"
"Stopped","PeerDistSvc","BranchCache","06-28-23 04:56:17"
"Stopped","perceptionsimulation","Windows Perception Simulation Service","06-28-23 04:56:17"
"Stopped","PerfHost","Performance Counter DLL Host","06-28-23 04:56:17"
"Stopped","PhoneSvc","Phone Service","06-28-23 04:56:17"
"Running","PimIndexMaintenanceSvc_a0080","PimIndexMaintenanceSvc_a0080","06-28-23 04:56:17"
"Stopped","pla","Performance Logs & Alerts","06-28-23 04:56:17"
"Running","PlugPlay","Plug and Play","06-28-23 04:56:17"
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service","06-28-23 04:56:17"
"Stopped","PNRPsvc","Peer Name Resolution Protocol","06-28-23 04:56:17"
"Running","PolicyAgent","IPsec Policy Agent","06-28-23 04:56:17"
"Running","Power","Power","06-28-23 04:56:17"
"Stopped","PrintNotify","Printer Extensions and Notifications","06-28-23 04:56:17"
"Stopped","PrintWorkflowUserSvc_a0080","PrintWorkflowUserSvc_a0080","06-28-23 04:56:17"
"Running","ProfSvc","User Profile Service","06-28-23 04:56:17"
"Stopped","PushToInstall","Windows PushToInstall Service","06-28-23 04:56:17"
"Running","Quick Update Service","Quick Update Service","06-28-23 04:56:17"
"Stopped","QWAVE","Quality Windows Audio Video Experience","06-28-23 04:56:17"
"Stopped","RasAuto","Remote Access Auto Connection Manager","06-28-23 04:56:17"
"Running","RasMan","Remote Access Connection Manager","06-28-23 04:56:17"
"Running","RegSrvc","Intel(R) PROSet/Wireless Registry Service","06-28-23 04:56:17"
"Stopped","RemoteAccess","Routing and Remote Access","06-28-23 04:56:17"
"Stopped","RemoteRegistry","Remote Registry","06-28-23 04:56:17"
"Running","RepairService","RepairService","06-28-23 04:56:17"
"Stopped","RetailDemo","Retail Demo Service","06-28-23 04:56:17"
"Running","RmSvc","Radio Management Service","06-28-23 04:56:17"
"Running","RpcEptMapper","RPC Endpoint Mapper","06-28-23 04:56:17"
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator","06-28-23 04:56:17"
"Running","RpcSs","Remote Procedure Call (RPC)","06-28-23 04:56:17"
"Running","SamSs","Security Accounts Manager","06-28-23 04:56:17"
"Running","SAService","Conexant SmartAudio service","06-28-23 04:56:17"
"Stopped","ScanWscS","Total Security Helper Service WSC","06-28-23 04:56:17"
"Stopped","SCardSvr","Smart Card","06-28-23 04:56:17"
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service","06-28-23 04:56:17"
"Running","Schedule","Task Scheduler","06-28-23 04:56:17"
"Stopped","SCPolicySvc","Smart Card Removal Policy","06-28-23 04:56:17"
"Running","ScSecSvc","Core Browsing Protection","06-28-23 04:56:17"
"Stopped","SDRSVC","Windows Backup","06-28-23 04:56:17"
"Stopped","seclogon","Secondary Logon","06-28-23 04:56:17"
"Running","SEMgrSvc","Payments and NFC/SE Manager","06-28-23 04:56:17"
"Running","SENS","System Event Notification Service","06-28-23 04:56:17"
"Stopped","SensorDataService","Sensor Data Service","06-28-23 04:56:17"
"Stopped","SensorService","Sensor Service","06-28-23 04:56:17"
"Stopped","SensrSvc","Sensor Monitoring Service","06-28-23 04:56:17"
"Running","SessionEnv","Remote Desktop Configuration","06-28-23 04:56:17"
"Running","SharedAccess","Internet Connection Sharing (ICS)","06-28-23 04:56:17"
"Stopped","SharedRealitySvc","Spatial Data Service","06-28-23 04:56:17"
"Running","ShellHWDetection","Shell Hardware Detection","06-28-23 04:56:17"
"Stopped","shpamsvc","Shared PC Account Manager","06-28-23 04:56:17"
"Stopped","smphost","Microsoft Storage Spaces SMP","06-28-23 04:56:17"
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.","06-28-23 04:56:17"
"Stopped","SNMPTRAP","SNMP Trap","06-28-23 04:56:17"
"Stopped","spectrum","Windows Perception Service","06-28-23 04:56:17"
"Running","Spooler","Print Spooler","06-28-23 04:56:17"
"Running","sppsvc","Software Protection","06-28-23 04:56:17"
"Running","SQLWriter","SQL Server VSS Writer","06-28-23 04:56:17"
"Running","SSDPSRV","SSDP Discovery","06-28-23 04:56:17"
"Stopped","ssh-agent","OpenSSH Authentication Agent","06-28-23 04:56:17"
"Running","SstpSvc","Secure Socket Tunneling Protocol Service","06-28-23 04:56:17"
"Running","StateRepository","State Repository Service","06-28-23 04:56:17"
"Running","stisvc","Windows Image Acquisition (WIA)","06-28-23 04:56:17"
"Running","StorSvc","Storage Service","06-28-23 04:56:17"
"Stopped","SUService","System Update","06-28-23 04:56:17"
"Stopped","svsvc","Spot Verifier","06-28-23 04:56:17"
"Stopped","swprv","Microsoft Software Shadow Copy Provider","06-28-23 04:56:17"
"Running","SynTPEnhService","SynTPEnh Caller Service","06-28-23 04:56:17"
"Running","SysMain","SysMain","06-28-23 04:56:17"
"Running","SystemEventsBroker","System Events Broker","06-28-23 04:56:17"
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service","06-28-23 04:56:17"
"Running","TapiSrv","Telephony","06-28-23 04:56:17"
"Running","TermService","Remote Desktop Services","06-28-23 04:56:17"
"Running","Themes","Themes","06-28-23 04:56:17"
"Stopped","TieringEngineService","Storage Tiers Management","06-28-23 04:56:17"
"Running","TimeBrokerSvc","Time Broker","06-28-23 04:56:17"
"Running","TokenBroker","Web Account Manager","06-28-23 04:56:17"
"Running","TrkWks","Distributed Link Tracking Client","06-28-23 04:56:17"
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service","06-28-23 04:56:17"
"Stopped","TrustedInstaller","Windows Modules Installer","06-28-23 04:56:17"
"Stopped","tzautoupdate","Auto Time Zone Updater","06-28-23 04:56:17"
"Stopped","UdkUserSvc_a0080","UdkUserSvc_a0080","06-28-23 04:56:17"
"Stopped","UevAgentService","User Experience Virtualization Service","06-28-23 04:56:17"
"Running","uhssvc","Microsoft Update Health Service","06-28-23 04:56:17"
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector","06-28-23 04:56:17"
"Running","UnistoreSvc_a0080","UnistoreSvc_a0080","06-28-23 04:56:17"
"Running","upnphost","UPnP Device Host","06-28-23 04:56:17"
"Running","UserDataSvc_a0080","UserDataSvc_a0080","06-28-23 04:56:17"
"Running","UserManager","User Manager","06-28-23 04:56:17"
"Running","UsoSvc","Update Orchestrator Service","06-28-23 04:56:17"
"Stopped","VacSvc","Volumetric Audio Compositor Service","06-28-23 04:56:17"
"Running","VaultSvc","Credential Manager","06-28-23 04:56:17"
"Stopped","VBoxSDS","VirtualBox system service","06-28-23 04:56:17"
"Stopped","vds","Virtual Disk","06-28-23 04:56:17"
"Stopped","vmcompute","Hyper-V Host Compute Service","06-28-23 04:56:17"
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface","06-28-23 04:56:17"
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service","06-28-23 04:56:17"
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service","06-28-23 04:56:17"
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service","06-28-23 04:56:17"
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service","06-28-23 04:56:17"
"Stopped","vmictimesync","Hyper-V Time Synchronization Service","06-28-23 04:56:17"
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service","06-28-23 04:56:17"
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor","06-28-23 04:56:17"
"Stopped","VSS","Volume Shadow Copy","06-28-23 04:56:17"
"Stopped","VSStandardCollectorService150","Visual Studio Standard Collector Service 150","06-28-23 04:56:17"
"Stopped","W32Time","Windows Time","06-28-23 04:56:17"
"Running","WaaSMedicSvc","Windows Update Medic Service","06-28-23 04:56:17"
"Stopped","WalletService","WalletService","06-28-23 04:56:17"
"Stopped","WarpJITSvc","WarpJITSvc","06-28-23 04:56:17"
"Stopped","wbengine","Block Level Backup Engine Service","06-28-23 04:56:17"
"Stopped","WbioSrvc","Windows Biometric Service","06-28-23 04:56:17"
"Running","Wcmsvc","Windows Connection Manager","06-28-23 04:56:17"
"Stopped","wcncsvc","Windows Connect Now - Config Registrar","06-28-23 04:56:17"
"Running","WdiServiceHost","Diagnostic Service Host","06-28-23 04:56:17"
"Running","WdiSystemHost","Diagnostic System Host","06-28-23 04:56:17"
"Stopped","WebClient","WebClient","06-28-23 04:56:17"
"Stopped","Wecsvc","Windows Event Collector","06-28-23 04:56:17"
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service","06-28-23 04:56:17"
"Stopped","wercplsupport","Problem Reports Control Panel Support","06-28-23 04:56:17"
"Stopped","WerSvc","Windows Error Reporting Service","06-28-23 04:56:17"
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","06-28-23 04:56:17"
"Stopped","WiaRpc","Still Image Acquisition Events","06-28-23 04:56:17"
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","06-28-23 04:56:17"
"Running","Winmgmt","Windows Management Instrumentation","06-28-23 04:56:17"
"Running","WinRM","Windows Remote Management (WS-Management)","06-28-23 04:56:17"
"Stopped","wisvc","Windows Insider Service","06-28-23 04:56:17"
"Running","WlanSvc","WLAN AutoConfig","06-28-23 04:56:17"
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant","06-28-23 04:56:17"
"Stopped","wlpasvc","Local Profile Assistant Service","06-28-23 04:56:17"
"Stopped","WManSvc","Windows Management Service","06-28-23 04:56:17"
"Stopped","wmiApSrv","WMI Performance Adapter","06-28-23 04:56:17"
"Running","WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","06-28-23 04:56:17"
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service","06-28-23 04:56:17"
"Stopped","workfolderssvc","Work Folders","06-28-23 04:56:17"
"Stopped","WpcMonSvc","Parental Controls","06-28-23 04:56:17"
"Stopped","WPDBusEnum","Portable Device Enumerator Service","06-28-23 04:56:17"
"Running","WpnService","Windows Push Notifications System Service","06-28-23 04:56:17"
"Running","WpnUserService_a0080","WpnUserService_a0080","06-28-23 04:56:17"
"Running","WSearch","Windows Search","06-28-23 04:56:17"
"Stopped","wuauserv","Windows Update","06-28-23 04:56:17"
"Stopped","WwanSvc","WWAN AutoConfig","06-28-23 04:56:17"
"Stopped","XblAuthManager","Xbox Live Auth Manager","06-28-23 04:56:17"
"Stopped","XblGameSave","Xbox Live Game Save","06-28-23 04:56:17"
"Stopped","XboxGipSvc","Xbox Accessory Management Service","06-28-23 04:56:17"
"Stopped","XboxNetApiSvc","Xbox Live Networking Service","06-28-23 04:56:17"
"Running","ZeroConfigService","Intel(R) PROSet/Wireless Zero Configuration Service","06-28-23 04:56:17"
